generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
33,915.0076293945312,260.13128662109375,915.0076293945312,0.10477662806697847,"[1.9729119539260864, 2.39193058013916, 0.3099151849746704, -0.2508028745651245, 0.24243469536304474, 0.21891747415065765, 1.0984047651290894]",,,,,
34,707.3594360351562,287.7034912109375,915.0076293945312,0.1026810955056389,"[1.9729119539260864, 2.39193058013916, 0.3099151849746704, -0.2508028745651245, 0.24243469536304474, 0.21891747415065765, 1.0984047651290894]",,,,,
35,915.864501953125,223.57125854492188,915.864501953125,0.10062747359552612,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",0.3,0.7,0.6666666666666666,0.03333333333333333,27.168648981901114
36,729.3309326171875,259.3819274902344,915.864501953125,0.0986149241236156,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
37,699.441650390625,240.0963897705078,915.864501953125,0.09664262564114329,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
38,717.8255004882812,241.4748992919922,915.864501953125,0.09470977312832042,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
39,551.0958251953125,231.63003540039062,915.864501953125,0.092815577665754,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
40,731.6355590820312,223.4176483154297,915.864501953125,0.09095926611243892,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",0.5333333333333333,0.4666666666666667,0.4666666666666667,0.0,72.49617001856944
41,707.9524536132812,231.51638793945312,915.864501953125,0.08914008079019013,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
42,746.2994995117188,223.1950225830078,915.864501953125,0.08735727917438633,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
43,873.5829467773438,263.58905029296875,915.864501953125,0.08561013359089861,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
44,699.8252563476562,250.3847198486328,915.864501953125,0.08389793091908064,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
45,708.2686767578125,246.6812744140625,915.864501953125,0.08221997230069902,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",0.4,0.6,0.6,0.0,48.11996474000834
46,699.0599975585938,279.51470947265625,915.864501953125,0.08057557285468504,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
47,729.7858276367188,234.11282348632812,915.864501953125,0.07896406139759134,"[2.0100536346435547, 2.3900017738342285, 0.14883467555046082, -0.24853743612766266, 0.24088364839553833, 0.2563927173614502, 1.0609291791915894]",,,,,
