generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
51,921.5140380859375,647.06982421875,939.0879516601562,0.07283393601742334,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
52,914.0133666992188,653.1605224609375,939.0879516601562,0.07137725729707488,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
53,906.8546142578125,628.0890502929688,939.0879516601562,0.06994971215113338,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
54,913.732666015625,683.0316162109375,939.0879516601562,0.06855071790811071,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
55,922.2013549804688,658.0870361328125,939.0879516601562,0.0671797035499485,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.6333333333333333,0.36666666666666664,0.3333333333333333,0.03333333333333333,92.29491293000524
56,934.05712890625,660.490966796875,939.0879516601562,0.06583610947894952,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
57,922.4448852539062,656.796142578125,939.0879516601562,0.06451938728937053,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
58,921.7994995117188,686.0999145507812,939.0879516601562,0.06322899954358312,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
59,919.2625732421875,693.8231201171875,939.0879516601562,0.06196441955271145,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
60,924.8778686523438,696.2852172851562,939.0879516601562,0.060725131161657224,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.6666666666666666,0.3333333333333333,0.3,0.03333333333333333,96.36958093598824
